,genres,name,popularity,id,genre
19,"['adult standards', 'big band', 'cool jazz', 'harlem renaissance', 'jazz', 'jazz piano', 'lounge', 'stride', 'swing', 'vocal jazz']",Count Basie,65,2jFZlvIea42ZvcCw4OeEdA,jazz
20,"['contemporary jazz', 'cool jazz', 'ecm-style jazz', 'jazz', 'jazz fusion', 'jazz trio']",Keith Jarrett Trio,51,3OJGG2blZ0c3YTOMSKZaHj,jazz
21,['social media pop'],Rare Americans,61,0e5Rda7VQAY786739xp0Jt,rock
22,"['cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet']",Miles Davis,65,0kbYTNQb4Pb1rPbbaF0pT4,jazz
23,"['adult standards', 'cool jazz', 'jazz', 'jazz trumpet', 'lounge', 'vocal jazz']",Chet Baker,66,3rxeQlsv0Sc2nyYaZ5W71T,jazz
24,"['pop', 'r&b', 'rap']",SZA,87,7tYKF4w9nC0nq9CsPZTHyP,pop
25,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Kendrick Lamar,89,2YZyLoL8N0Wb9xBt1NhZWg,hip hop
26,"['contemporary jazz', 'straight-ahead jazz']",Dayna Stephens,16,3Y8rffZJZVJgNWMM6ZVGin,jazz
27,"['classic rock', 'glam rock', 'rock']",Queen,87,1dfeR4HaWDbWqFHLkxsg1d,rock
28,"['contemporary jazz', 'jazz saxophone']",Mark Turner,31,36kfddkWcVc6XrzNN9BsTP,jazz
29,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'post-teen pop']",WILLOW,83,3rWZHrfrsPBxVy692yAIxF,jazz
30,['icelandic indie'],Low Roar,57,5WoWlP0ihSFIxnppxjwSgE,pop
31,"['banjo', 'bluegrass', 'bluegrass gospel', 'new americana', 'new england americana', 'progressive bluegrass']",Crooked Still,46,7LOJ56d8VmOebynlV01KfU,pop
32,"['dance pop', 'pop']",Bruno Mars,90,0du5cEVh5yTK9QJze8zA0C,pop
33,"['electropop', 'pop']",Billie Eilish,93,6qqNVTkY8uBg9cP3Jd7DAH,pop
34,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']",Flume,74,6nxWCVXbOlEVRexSbLsTer,electro
35,[],Noam Wiesenberg,3,0IV9EI5sd2rlMEoAvDg70M,jazz
36,"['contemporary jazz', 'jazz']",Ben Wendel,26,0gaASCUAMqvXxGFDYaNFca,jazz
37,['dance pop'],Akon,82,0z4gvV4rjIZ9wHck67ucSV,pop
38,"['alternative r&b', 'chicago rap', 'escape room', 'hip hop', 'indie soul', 'neo soul', 'underground hip hop']",Noname,60,1EpyA68dKpjf7jXmQL88Hy,hip hop
39,"['bebop', 'big band', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet', 'soul jazz', 'stride', 'swing', 'vocal jazz']",Clifford Brown,52,1HJHwWck1EY096ea2iPAHO,jazz
40,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock']",The Smashing Pumpkins,74,40Yq4vzPs9VNUrIBG5Jr2i,rock
41,"['avant-garde jazz', 'bebop', 'big band', 'contemporary jazz', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz saxophone', 'soul jazz', 'stride', 'vocal jazz']",Lee Konitz,47,4YNvbaOaqp5pzC5US5t48k,jazz
42,"['chicago rap', 'rap']",Kanye West,96,5K4W6rqBFWDnAN6FQUkS6x,hip hop
43,"['tibetan pop', 'tibetan traditional']",Tibetan Institute Of Performing Arts,8,1JyQazOFLLO3WfMaRglxnS,tibetan
44,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",Chance the Rapper,80,1anyVhU62p31KFi8MEzkbf,hip hop
45,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",Nas,77,20qISvAhX20dpIbOOzGK3q,hip hop
46,"['adult standards', 'bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz piano', 'vocal jazz']",Bill Evans,65,4jXfFzeP66Zy67HM2mvIIF,jazz
47,"['classical', 'classical performance', 'classical piano', 'latin american classical piano']",Martha Argerich,57,66MvLAvLznk5UOvASVGjk4,classical
48,"['japanese vgm', 'sound team', 'video game music']",SIE Sound Team,51,1RjRHE0popjV7rhcHdp376,video game
49,['contemporary jazz'],Kendrick Scott Oracle,31,0IyuDlCVbMa3TAoVaDKEeL,jazz
